District,Rythu Bazar,Vegetable,Arrivals,LocalMarket Rate,RythuBazar Rate
Medchal (Malkajgiri),Yellammabanda,Green Chillies,2,40,35
Medchal (Malkajgiri),Yellammabanda,Bitter  Gourd,1,25,20
Medchal (Malkajgiri),Yellammabanda,Ribbed Gourd,1,28,23
Medchal (Malkajgiri),Yellammabanda,Cauliflower,1,24,18
Medchal (Malkajgiri),Yellammabanda,Cabbage,2,15,11
Medchal (Malkajgiri),Yellammabanda,Carrot,1,32,27
Medchal (Malkajgiri),Yellammabanda,Donda,1,18,13
Medchal (Malkajgiri),Yellammabanda,Potato,2,25,21
Medchal (Malkajgiri),Yellammabanda,Onions-I,1,45,35
Medchal (Malkajgiri),Yellammabanda,Cluster Beans,1,28,23
Medchal (Malkajgiri),Yellammabanda,Cucumber,1,18,13
Medchal (Malkajgiri),Yellammabanda,Bottle Gourd,1,10,7
Medchal (Malkajgiri),Yellammabanda,Snake Gourd,0,15,11
Medchal (Malkajgiri),Yellammabanda,Aratikaya,1,12,9
Medchal (Malkajgiri),Yellammabanda,Field Beans,1,60,55
Medchal (Malkajgiri),Yellammabanda,Colocasia(Chama),0,42,37
Medchal (Malkajgiri),Yellammabanda,Mulagakada,0,65,55
Medchal (Malkajgiri),Yellammabanda,Leafy Vegetables,1,25,20
Medchal (Malkajgiri),Yellammabanda,Kanda,0,55,50
Medchal (Malkajgiri),Yellammabanda,Beet Root,1,30,25
Medchal (Malkajgiri),Yellammabanda,Keera,1,28,23
Medchal (Malkajgiri),Yellammabanda,French Beans,0,60,55
Medchal (Malkajgiri),Yellammabanda,Others,1,25,20
Medchal (Malkajgiri),Yellammabanda,Rice,0,0,0
Medchal (Malkajgiri),Yellammabanda,Tomato-618,0,0,0
Medchal (Malkajgiri),Yellammabanda,Onions-II,0,0,0
Narayanpet,Narayanpet,Tomato,5.1,32,30
Narayanpet,Narayanpet,Brinjal,8.1,52,50
Narayanpet,Narayanpet,Bhendi,4.1,42,40
Narayanpet,Narayanpet,Green Chillies,3.1,62,60
Narayanpet,Narayanpet,Bitter  Gourd,1.1,82,80
Narayanpet,Narayanpet,Ribbed Gourd,7.1,72,70
Narayanpet,Narayanpet,Cauliflower,0,0,0
Narayanpet,Narayanpet,Cabbage,0,0,0
Narayanpet,Narayanpet,Carrot,0,0,0
Narayanpet,Narayanpet,Donda,2.1,62,60
Narayanpet,Narayanpet,Potato,1.1,42,40
Narayanpet,Narayanpet,Onions-I,4.5,65,60
Narayanpet,Narayanpet,Cluster Beans,4.2,52,50
Narayanpet,Narayanpet,Cucumber,0,0,0
Narayanpet,Narayanpet,Bottle Gourd,0,0,0
Narayanpet,Narayanpet,Snake Gourd,0,0,0
Narayanpet,Narayanpet,Aratikaya,0,0,0
Narayanpet,Narayanpet,Field Beans,2.5,62,60
Narayanpet,Narayanpet,Colocasia(Chama),0,0,0
Narayanpet,Narayanpet,Mulagakada,0,0,0
Narayanpet,Narayanpet,Leafy Vegetables,7.2,25,20
Narayanpet,Narayanpet,Kanda,0,0,0
Narayanpet,Narayanpet,Beet Root,0,0,0
Narayanpet,Narayanpet,Keera,0,0,0
Narayanpet,Narayanpet,French Beans,0,0,0
Narayanpet,Narayanpet,Others,8.1,150,130
Narayanpet,Narayanpet,Rice,0,0,0
Narayanpet,Narayanpet,Tomato-618,0,0,0
Narayanpet,Narayanpet,Onions-II,0,0,0
Rangareddy,Chevella,Tomato,0,0,0
Rangareddy,Chevella,Brinjal,0,0,0
Rangareddy,Chevella,Bhendi,0,0,0
Rangareddy,Chevella,Green Chillies,0,0,0
Rangareddy,Chevella,Bitter  Gourd,0,0,0
Rangareddy,Chevella,Ribbed Gourd,0,0,0
Rangareddy,Chevella,Cauliflower,0,0,0
Rangareddy,Chevella,Cabbage,0,0,0
Rangareddy,Chevella,Carrot,0,0,0
Rangareddy,Chevella,Donda,0,0,0
Rangareddy,Chevella,Potato,0,0,0
Rangareddy,Chevella,Onions-I,0,0,0
Rangareddy,Chevella,Cluster Beans,0,0,0
Rangareddy,Chevella,Cucumber,0,0,0
Rangareddy,Chevella,Bottle Gourd,0,0,0
Rangareddy,Chevella,Snake Gourd,0,0,0
Rangareddy,Chevella,Aratikaya,0,0,0
Rangareddy,Chevella,Field Beans,0,0,0
Rangareddy,Chevella,Colocasia(Chama),0,0,0
Rangareddy,Chevella,Mulagakada,0,0,0
Rangareddy,Chevella,Leafy Vegetables,0,0,0
Rangareddy,Chevella,Kanda,0,0,0
Rangareddy,Chevella,Beet Root,0,0,0
Rangareddy,Chevella,Keera,0,0,0
Rangareddy,Chevella,French Beans,0,0,0
Rangareddy,Chevella,Others,0,0,0
Rangareddy,Chevella,Rice,0,0,0
Rangareddy,Chevella,Tomato-618,0,0,0
Rangareddy,Chevella,Onions-II,0,0,0
